Molecule ChEMBL ID,Smiles,pIC50,pIC50_std,n_measurements
CHEMBL4437863,CC1(C)CC[C@]2(C(=O)OCCO[N+](=O)[O-])CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,7.52,0.0,1
CHEMBL4443062,O=C(Nc1nccs1)C(c1cc(F)ccc1O)N1Cc2ccc(-c3ccc(N4CCNCC4)cc3)cc2C1=O,7.57,0.6081118318204314,2
CHEMBL4443413,CCC(=O)N1CC[C@@H](n2c(=O)c(-c3ccccc3Cl)c(C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,7.09,0.0,1
CHEMBL4443483,COc1cc2c(Nc3ccc(NC(=O)C(c4cc(F)ccc4F)N4Cc5ccccc5C4=O)cc3F)ncnc2cc1OCC1CCN(C)CC1,8.66,0.0,2
CHEMBL4444231,CC(C)(O)Cn1/c(=N/C(=O)c2cccc(-c3cccnc3)c2)[nH]c2ccccc21,5.57,0.0,1
CHEMBL4446258,CCC(=O)N1CCC[C@@H](n2c(=O)c(-c3ccccc3Cl)c(C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,7.19,0.0,1
CHEMBL4449589,CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3cccnc3)c2)[nH]c2ccccc21,6.45,0.0,1
CHEMBL4450934,CCC(=O)N1CCC[C@@H](n2c(=O)c(-c3ccc(F)cc3Cl)c(C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,6.85,0.28284271247461834,2
CHEMBL4452106,O=C(Nc1nccs1)[C@@H](c1cc(F)ccc1O)N1Cc2ccccc2C1=O,7.465,1.2232947314527276,2
CHEMBL4452906,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@]5(C(=O)OCCCCO[N+](=O)[O-])CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,7.7,0.0,1
CHEMBL4453276,CCC(=O)N1CCC[C@@H](n2c(=O)c(-c3ccccc3C)c(C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,6.4350000000000005,0.2899137802864843,2
